IDENTIF,RIVER,ERECTED,PURPOSE,LENGTH,LANES,T-OR-D,MATERIAL,SPAN
E1,M,1818,HIGHWAY,,2.0,THROUGH,WOOD,SHORT
E2,A,1819,HIGHWAY,1037.0,2.0,THROUGH,WOOD,SHORT
E3,A,1829,AQUEDUCT,,1.0,THROUGH,WOOD,
E5,A,1837,HIGHWAY,1000.0,2.0,THROUGH,WOOD,SHORT
E6,M,1838,HIGHWAY,,2.0,THROUGH,WOOD,
E7,A,1840,HIGHWAY,990.0,2.0,THROUGH,WOOD,MEDIUM
E8,A,1844,AQUEDUCT,1000.0,1.0,THROUGH,IRON,SHORT
E9,M,1846,HIGHWAY,1500.0,2.0,THROUGH,IRON,SHORT
E10,A,1848,AQUEDUCT,,1.0,DECK,WOOD,
E11,A,1851,HIGHWAY,1000.0,2.0,THROUGH,WOOD,MEDIUM
E12,A,1853,RR,,2.0,DECK,WOOD,
E14,M,1856,HIGHWAY,1200.0,2.0,THROUGH,WOOD,MEDIUM
E13,A,1856,HIGHWAY,,2.0,THROUGH,WOOD,
E15,A,1857,RR,,2.0,THROUGH,WOOD,
E16,A,1859,HIGHWAY,1030.0,2.0,THROUGH,IRON,MEDIUM
E17,M,1863,RR,1000.0,2.0,THROUGH,IRON,MEDIUM
E18,A,1864,RR,1200.0,2.0,THROUGH,IRON,SHORT
E19,A,1866,HIGHWAY,1000.0,2.0,THROUGH,WOOD,MEDIUM
E20,A,1870,HIGHWAY,1000.0,2.0,THROUGH,WOOD,MEDIUM
E21,M,1874,RR,,2.0,THROUGH,IRON,
E23,M,1876,HIGHWAY,1245.0,,THROUGH,STEEL,LONG
E22,A,1876,HIGHWAY,1200.0,4.0,THROUGH,WOOD,SHORT
E24,O,1878,RR,,2.0,,STEEL,
E25,M,1882,RR,,2.0,,STEEL,
E27,A,1883,RR,,2.0,THROUGH,STEEL,
E26,M,1883,RR,1150.0,2.0,THROUGH,STEEL,MEDIUM
E30,A,1884,RR,,2.0,THROUGH,STEEL,MEDIUM
E29,A,1884,HIGHWAY,1080.0,2.0,THROUGH,STEEL,MEDIUM
E28,M,1884,HIGHWAY,1000.0,2.0,THROUGH,STEEL,MEDIUM
E32,A,1887,HIGHWAY,,2.0,THROUGH,IRON,MEDIUM
E31,M,1887,RR,1161.0,2.0,THROUGH,STEEL,MEDIUM
E34,O,1888,RR,4558.0,2.0,THROUGH,STEEL,LONG
E33,M,1889,HIGHWAY,1120.0,,THROUGH,IRON,MEDIUM
E36,O,1890,HIGHWAY,,2.0,THROUGH,IRON,SHORT
E35,A,1890,HIGHWAY,1000.0,2.0,THROUGH,STEEL,MEDIUM
E38,M,1891,HIGHWAY,,2.0,THROUGH,IRON,MEDIUM
E37,M,1891,RR,1350.0,2.0,THROUGH,STEEL,MEDIUM
E39,A,1892,HIGHWAY,,2.0,THROUGH,STEEL,MEDIUM
E4,A,1892,AQUEDUCT,1092.0,1.0,THROUGH,WOOD,SHORT
E40,M,1893,HIGHWAY,,2.0,THROUGH,STEEL,MEDIUM
E41,M,1894,HIGHWAY,,2.0,THROUGH,IRON,MEDIUM
E42,M,1895,HIGHWAY,2367.0,2.0,THROUGH,STEEL,LONG
E44,O,1896,HIGHWAY,,2.0,THROUGH,STEEL,LONG
E43,M,1896,HIGHWAY,1040.0,2.0,THROUGH,STEEL,LONG
E46,A,1897,RR,4000.0,2.0,DECK,STEEL,LONG
E45,M,1897,RR,2264.0,,THROUGH,STEEL,
E47,M,1898,RR,2000.0,2.0,THROUGH,STEEL,MEDIUM
E58,A,1900,HIGHWAY,1200.0,2.0,THROUGH,STEEL,MEDIUM
E48,A,1900,HIGHWAY,2000.0,2.0,THROUGH,STEEL,MEDIUM
E94,M,1901,RR,,2.0,THROUGH,STEEL,LONG
E49,A,1902,HIGHWAY,1850.0,2.0,THROUGH,STEEL,MEDIUM
E95,M,1903,RR,1300.0,2.0,THROUGH,STEEL,MEDIUM
E87,A,1903,RR,3000.0,2.0,THROUGH,STEEL,MEDIUM
E51,M,1903,RR,1417.0,2.0,THROUGH,STEEL,MEDIUM
E50,M,1903,RR,1154.0,,THROUGH,STEEL,LONG
